iter	Passed	Remaining
0	1	131
1	2	120
2	3	107
3	4	96
4	5	97
5	7	124
6	9	121
7	10	117
8	11	112
9	12	108
10	13	105
11	14	103
12	15	101
13	16	100
14	17	101
15	19	102
16	20	100
17	21	97
18	22	94
19	23	92
20	23	89
21	24	87
22	25	86
23	26	84
24	27	83
25	28	81
26	29	80
27	30	79
28	31	77
29	32	75
30	33	74
31	34	73
32	35	71
33	36	71
34	37	70
35	38	68
36	39	67
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	43
57	59	42
58	60	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	79	26
75	81	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	87	19
82	88	18
83	89	17
84	90	16
85	91	14
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
